City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
388,Ipora,-16.4419,-51.1178,89.44,36,42,5.46,BR,2022-10-26 16:40:43
389,Torbat-E Jam,35.244,60.6225,57.24,50,0,2.68,IR,2022-10-26 16:40:44
390,Altay,47.8667,88.1167,39.0,51,70,6.31,CN,2022-10-26 16:37:02
391,Saint George,37.1041,-113.5841,56.43,45,0,4.61,US,2022-10-26 16:40:39
392,Rincon,32.296,-81.2354,76.84,69,75,9.22,US,2022-10-26 16:37:18
393,Lavrentiya,65.5833,-171.0,24.35,77,7,7.85,RU,2022-10-26 16:40:45
394,Vardo,70.3705,31.1107,37.38,87,75,20.71,NO,2022-10-26 16:40:46
395,Taksimo,56.3444,114.8794,18.1,83,13,0.74,RU,2022-10-26 16:40:46
396,Neuquen,-38.9516,-68.0591,67.89,24,20,16.11,AR,2022-10-26 16:40:29
397,Vondrozo,-22.8167,47.2833,66.02,97,97,1.59,MG,2022-10-26 16:40:47
398,Boyolangu,-8.1181,111.8935,74.84,92,100,4.88,ID,2022-10-26 16:40:47
399,Bergen,60.392,5.328,55.81,67,75,12.66,NO,2022-10-26 16:41:48
400,Helong,42.5397,128.9972,44.24,86,100,5.46,CN,2022-10-26 16:41:48
401,Zaltan,32.947,11.8665,76.64,49,28,8.97,LY,2022-10-26 16:41:49
402,Yabelo,4.8833,38.0833,63.37,71,68,8.99,ET,2022-10-26 16:41:49
403,Erdaojiang,41.7764,126.0319,41.97,87,86,3.56,CN,2022-10-26 16:41:51
404,Athabasca,54.7169,-113.2854,28.81,73,100,7.7,CA,2022-10-26 16:41:51
405,Ayan,56.45,138.1667,32.56,59,26,10.6,RU,2022-10-26 16:41:53
406,Elizabeth City,36.2946,-76.2511,70.02,83,75,8.05,US,2022-10-26 16:41:53
407,Aykhal,66.0,111.5,24.26,91,100,22.86,RU,2022-10-26 16:41:54
408,Qadirpur Ran,30.2924,71.6712,75.09,22,0,3.78,PK,2022-10-26 16:41:55
409,Sisophon,13.5859,102.9737,75.4,96,100,3.11,KH,2022-10-26 16:41:55
410,Birao,10.2849,22.7882,79.23,35,87,5.23,CF,2022-10-26 16:41:56
411,Siparia,10.1333,-61.5,83.79,88,100,5.01,TT,2022-10-26 16:41:56
412,Greystones,53.1408,-6.0631,59.29,83,14,22.84,IE,2022-10-26 16:41:57
413,Karachi,24.9056,67.0822,78.62,83,40,6.91,PK,2022-10-26 16:39:58
414,Jaswantnagar,26.8786,78.9028,73.99,45,0,3.47,IN,2022-10-26 16:41:58
415,Pasighat,28.0667,95.3333,66.99,93,4,3.4,IN,2022-10-26 16:41:59
416,Wad Rawah,15.1603,33.1397,87.13,14,66,9.62,SD,2022-10-26 16:41:59
417,Supe,-10.8,-77.7333,66.78,68,32,11.32,PE,2022-10-26 16:42:00
